Search Warrant #,Type of Warrant,Date,Address Merged,Address,,,City,State,Country,
12SW4393,SEARCH,25-Jan-12,3100 W MONROE ST,3100,W,MONROE ST,CHICAGO,ILLINOIS,USA,N
12SW4375,SEARCH,25-Jan-12,10500 S EGGLESTON AVE,10500,S,EGGLESTON AVE,CHICAGO,ILLINOIS,USA,Y
12SW4395,SEARCH,26-Jan-12,900 N ST LOUIS AVE,900,N,ST LOUIS AVE,CHICAGO,ILLINOIS,USA,Y
12SW4396,SEARCH,26-Jan-12,700 W 59TH ST,700,W,59TH ST,CHICAGO,ILLINOIS,USA,N
12SW4335,SEARCH,26-Jan-12,5500 W PARKER AVE,5500,W,PARKER AVE,CHICAGO,ILLINOIS,USA,Y
12SW4365,SEARCH,26-Jan-12,5800 S ABERDEEN ST,5800,S,ABERDEEN ST,CHICAGO,ILLINOIS,USA,N
12SW4392,SEARCH,26-Jan-12,9500 S WENTWORTH AVE,9500,S,WENTWORTH AVE,CHICAGO,ILLINOIS,USA,Y
12SW4359,SEARCH,26-Jan-12,9500 S WENTWORTH AVE,9500,S,WENTWORTH AVE,CHICAGO,ILLINOIS,USA,Y
12SW4362,SEARCH,26-Jan-12,3600 W 65TH PL,3600,W,65TH PL,CHICAGO,ILLINOIS,USA,Y
12SW4397,SEARCH,26-Jan-12,4900 N CHRISTIANA AVE,4900,N,CHRISTIANA AVE,CHICAGO,ILLINOIS,USA,Y
12SW4376,SEARCH,26-Jan-12,7000 S WENTWORTH AVE,7000,S,WENTWORTH AVE,CHICAGO,ILLINOIS,USA,Y
12SW4384,SEARCH,26-Jan-12,2200 S TRUMBULL AVE,2200,S,TRUMBULL AVE,CHICAGO,ILLINOIS,USA,Y
12SW4385,SEARCH,26-Jan-12,2200 S TRUMBULL AVE,2200,S,TRUMBULL AVE,CHICAGO,ILLINOIS,USA,Y
12SW4411,SEARCH,26-Jan-12,10200 S PERRY AVE,10200,S,PERRY AVE,CHICAGO,ILLINOIS,USA,N
12SW4400,SEARCH,27-Jan-12,3300 W FILLMORE ST,3300,W,FILLMORE ST,CHICAGO,ILLINOIS,USA,N
12SW4401,SEARCH,27-Jan-12,6400 S MAPLEWOOD AVE,6400,S,MAPLEWOOD AVE,CHICAGO,ILLINOIS,USA,N
12SW4399,SEARCH,27-Jan-12,5700 S WASHTENAW AVE,5700,S,WASHTENAW AVE,CHICAGO,ILLINOIS,USA,N
12SW4413,SEARCH,27-Jan-12,3300 W FILLMORE ST,3300,W,FILLMORE ST,CHICAGO,ILLINOIS,USA,N
12SW4361,SEARCH,27-Jan-12,7200 S HALSTED ST,7200,S,HALSTED ST,CHICAGO,ILLINOIS,USA,N
